weburl,tname01,tname02,tname03,oname,year,country,category01,category02,category03,director
http://www.ygdy8.net/html/gndy/dyzz/20091118/22967.html,朱莉与朱莉娅,美味关系,,Julie and Julia,2009,美国,传记,喜剧,剧情,诺拉`艾芙隆
http://www.ygdy8.net/html/gndy/dyzz/20091118/22969.html,爱的曝光,爱之剥脱,,Love Exposure,2008,日本,动作,喜剧,剧情,园子温
http://www.ygdy8.net/html/gndy/dyzz/20091118/22970.html,黑暗乡村,,,Dark Country,2009,美国,惊悚,悬疑,,托马斯`简
http://www.ygdy8.net/html/gndy/dyzz/20091119/22984.html,无耻混蛋,恶棍特工,无良杂种,Inglourious Basterds,2009,美国/德国,剧情,战争,,昆汀`塔伦蒂诺
http://www.ygdy8.net/html/gndy/dyzz/20091119/22985.html,朱莉与朱莉娅,美味关系,,Julie and Julia,2009,美国,传记,喜剧,剧情,诺拉`艾芙隆
http://www.ygdy8.net/html/gndy/dyzz/20091119/22987.html,海豹突击队,,,SEAL Team VI,2008,美国,动作,,,Mark
http://www.ygdy8.net/html/gndy/dyzz/20091119/22988.html,恋爱前规则,,,My Airhostess Roommate,2009,中国,爱情,喜剧,,蒋钦民
http://www.ygdy8.net/html/gndy/dyzz/20091120/22996.html,罪与罚,杀人犯,,Murderer,2009,中国香港/美国,犯罪,剧情,悬疑,周显扬
http://www.ygdy8.net/html/gndy/dyzz/20091120/23012.html,无耻混蛋,恶棍特工,无良杂种,Inglourious Basterds,2009,美国/德国,剧情,战争,,昆汀`塔伦蒂诺
http://www.ygdy8.net/html/gndy/dyzz/20091121/23026.html,热血高校2,乌鸦高校2,漂撇男子汉2,Crows Zero II,2009,日本,动作,,,三池崇史
http://www.ygdy8.net/html/gndy/dyzz/20091122/23041.html,蓝色迷情,,,Blue,2009,印度,动作,冒险,爱情,Anthony
http://www.ygdy8.net/html/gndy/dyzz/20091122/23043.html,女伯爵,伯爵夫人,血腥女伯爵秘史,The Countess,2009,德国/法国,剧情,历史,惊悚,朱丽`德尔比
http://www.ygdy8.net/html/gndy/dyzz/20091122/23044.html,高度怀疑,排除合理怀疑,,Beyond A Reasonable Doubt,2009,美国,剧情,神秘,,彼得`海姆斯
http://www.ygdy8.net/html/gndy/dyzz/20091122/23045.html,后代,后裔,食人新世族,Offspring,2009,美国,恐怖,,,Andrew
http://www.ygdy8.net/html/gndy/dyzz/20091122/23046.html,豚鼠特工队,豚鼠特攻队,G势力,G-Force,2009,美国,动作,冒险,家庭,霍伊特`耶特曼
http://www.ygdy8.net/html/gndy/dyzz/20091122/23048.html,深空失忆,潘朵姆,颤栗异次元,Pandorum,2009,美国/德国,惊悚,科幻,恐怖,克里斯蒂安`阿瓦特
http://www.ygdy8.net/html/gndy/dyzz/20091123/23055.html,控制的极限,极限控制,我系杀手，年中无休,The Limits of Control,2009,美国/西班牙/日本,犯罪,剧情,惊悚,吉姆`贾木许
http://www.ygdy8.net/html/gndy/dyzz/20091123/23056.html,愚昧年代,,,The Age of Stupid,2009,英国,纪录片,,,法郎尼`阿姆斯特朗
http://www.ygdy8.net/html/gndy/dyzz/20091123/23057.html,毒气风暴,MW毒气风暴,,M W,2009,日本,剧情,,,岩本仁志
http://www.ygdy8.net/html/gndy/dyzz/20091123/23061.html,分手专家,,,The Break Up Artist,2009,美国,喜剧,,,Steve
http://www.ygdy8.net/html/gndy/dyzz/20091123/23062.html,真人游戏,公民游戏,游戏求生,Gamer,2009,美国,动作,科幻,惊悚,马克`耐沃尔代
http://www.ygdy8.net/html/gndy/dyzz/20091124/23071.html,电锯惊魂6,夺魂锯6,恐惧斗室6：万罚朝中,Saw VI,2009,加拿大/美国/英国/澳大利亚,犯罪,恐怖,神秘,凯文`格劳特
http://www.ygdy8.net/html/gndy/dyzz/20091124/23073.html,高度怀疑,排除合理怀疑,,Beyond A Reasonable Doubt,2009,美国,剧情,神秘,,彼得`海姆斯
http://www.ygdy8.net/html/gndy/dyzz/20091124/23075.html,心理医师,精神科医师,,Shrink,2009 年,美国,剧情,,,乔纳斯`佩特
http://www.ygdy8.net/html/gndy/dyzz/20091124/23079.html,无人守护,谁都不能保护我,谁来守护我,Nobody To Watch Over Me,2008,日本,剧情,,,君冢良一
http://www.ygdy8.net/html/gndy/dyzz/20091124/23080.html,世界上最伟大的父亲,,,Worlds Greatest Dad,2009,美国,喜剧,剧情,,鲍勃`格德斯维特
http://www.ygdy8.net/html/gndy/dyzz/20091125/23099.html,丑陋的真相,男女生了没,丑陋事实,The Ugly Truth,2009,美国,喜剧,爱情,,罗伯特`路克蒂克
http://www.ygdy8.net/html/gndy/dyzz/20091126/23116.html,梨泰院杀人事件,,,The Case Of Itaewon Homicide,2009,韩国,神秘,犯罪,惊悚,洪基善
http://www.ygdy8.net/html/gndy/dyzz/20091126/23117.html,墨水,,,Ink,2009,美国,动作,幻想,科幻,Jamin
http://www.ygdy8.net/html/gndy/dyzz/20091126/23118.html,御前演出,,,Command Performance,2009,美国,动作,剧情,惊悚,杜夫`朗格
